"t","Date","Day Code","Day of Week","Bread Sand Sold","Bread Sand Waste","Bread Sand Share","Wraps Sold","Wraps Waste","Wraps Share","Muffins Sold","Muffins Waste","Muffins Share","Cookies Sold","Cookies Waste","Cookies Share","Fruit Cup Sold","Fruit Cup Waste","Fruit Cup Share","Chips","Juices","Sodas","Coffees","Total Soda and Coffee","Sales ","Max Daily Temp F","Total Items Wasted"
1,1/19/2010,2,"Tue",5,3,"0,625",25,5,"0,8333333333",5,1,"0,8333333333",5,3,"0,625",1,4,"0,2",12,8,20,41,61,"199,95",36,16
2,1/20/2010,3,"Wed",6,8,"0,4285714286",7,17,"0,2916666667",3,5,"0,375",1,6,"0,1428571429",0,3,0,0,0,13,33,46,"195,74",34,39
3,1/21/2010,4,"Thu",8,2,"0,8",14,0,1,4,0,1,1,0,1,0,3,0,0,13,23,34,57,"102,68",39,5
4,1/22/2010,5,"Fri",4,2,"0,6666666667",5,7,"0,4166666667",5,0,1,3,1,"0,75",3,0,1,20,0,13,27,40,"162,88",40,10
5,1/25/2010,1,"Mon",3,0,1,10,0,1,8,0,1,3,0,1,2,0,1,0,5,13,20,33,"101,76",36,0
6,1/26/2010,2,"Tue",7,1,"0,875",5,3,"0,625",1,0,1,5,0,1,2,0,1,4,4,33,23,56,"186,94",26,4
7,1/27/2010,3,"Wed",6,6,"0,5",19,3,"0,8636363636",6,0,1,10,0,1,2,0,1,2,5,15,32,47,"120,18",34,9
8,1/28/2010,4,"Thu",0,0,,7,0,1,6,1,"0,8571428571",0,0,,0,0,,20,6,27,31,58,"228,78",33,1
9,1/29/2010,5,"Fri",3,4,"0,4285714286",4,9,"0,3076923077",0,4,0,3,2,"0,6",1,1,"0,5",3,4,12,30,42,"88,02",20,20
10,2/1/2010,1,"Mon",2,6,"0,25",13,3,"0,8125",3,0,1,6,0,1,2,0,1,16,7,19,27,46,"119,57",37,9
11,2/2/2010,2,"Tue",3,7,"0,3",10,2,"0,8333333333",5,0,1,5,0,1,1,0,1,2,0,33,30,63,"172,31",38,9
12,2/3/2010,3,"Wed",4,4,"0,5",15,0,1,4,1,"0,8",4,1,"0,8",2,0,1,9,6,20,27,47,"137,65",33,6
13,2/4/2010,4,"Thu",9,1,"0,9",13,0,1,14,0,1,13,0,1,3,0,1,13,6,29,26,55,"197,56",39,1
14,2/5/2010,5,"Fri",1,1,"0,5",6,2,"0,75",2,0,1,1,1,"0,5",0,0,,10,1,14,24,38,70,35,4
15,2/8/2010,1,"Mon",3,5,"0,375",14,2,"0,875",2,0,1,8,0,1,1,0,1,9,2,17,18,35,97,31,7
16,2/9/2010,2,"Tue",8,0,1,16,0,1,11,0,1,9,1,"0,9",2,0,1,11,8,31,22,53,"181,43",29,1
17,2/10/2010,3,"Wed",7,0,1,12,0,1,5,0,1,7,3,"0,7",1,0,1,14,3,24,21,45,"125,57",26,3
18,2/11/2010,4,"Thu",8,0,1,19,0,1,12,0,1,9,0,1,2,0,1,4,2,31,28,59,"180,63",28,0
19,2/12/2010,5,"Fri",2,0,1,4,0,1,0,0,,2,0,1,2,0,1,25,2,15,23,38,"75,87",30,0
20,2/15/2010,1,"Mon",3,3,"0,5",12,0,1,6,0,1,8,2,"0,8",2,0,1,7,7,26,31,57,"150,51",26,5
21,2/16/2010,2,"Tue",8,0,1,22,0,1,1,0,1,3,1,"0,75",3,0,1,13,5,39,29,68,"177,41",29,1
22,2/17/2010,3,"Wed",6,0,1,8,1,"0,8888888889",9,0,1,10,1,"0,9090909091",1,0,1,11,2,24,48,72,"153,84",29,2
23,2/18/2010,4,"Thu",4,2,"0,6666666667",19,0,1,10,0,1,9,0,1,3,0,1,8,12,35,25,60,205.36,34,2
24,2/19/2010,5,"Fri",4,0,1,10,0,1,4,2,"0,6666666667",4,0,1,0,0,,14,4,11,31,42,118.54,39,2
25,2/22/2010,1,"Mon",6,0,1,16,0,1,9,0,1,7,0,1,1,0,1,11,2,25,25,50,"138,04",36,0
26,2/23/2010,2,"Tue",7,0,1,23,0,1,12,0,1,12,0,1,4,0,1,21,5,36,35,71,"236,01",33,0
27,2/24/2010,3,"Wed",6,0,1,15,0,1,1,0,1,6,1,"0,8571428571",1,0,1,11,5,33,33,66,149.58,28,1
28,2/25/2010,4,"Thu",5,3,"0,625",22,0,1,8,0,1,4,0,1,4,1,"0,8",10,4,37,35,72,"206,17",33,4
29,2/26/2010,5,"Fri",2,0,1,5,0,1,28,1,"0,9655172414",8,0,1,0,1,0,11,21,22,16,38,93.1,35,2
30,3/1/2010,1,"Mon",3,2,"0,6",9,1,"0,9",5,0,1,6,1,"0,8571428571",2,0,1,10,7,36,24,60,151.91,40,4
31,3/2/2010,2,"Tue",8,0,1,21,1,"0,9545454545",10,0,1,9,1,"0,9",2,0,1,12,7,54,20,74,217.29,39,2
32,3/3/2010,3,"Wed",4,0,1,13,0,1,8,2,"0,8",8,2,"0,8",3,0,1,9,4,34,11,45,"148,24",39,4
33,3/4/2010,4,"Thu",4,0,1,14,0,1,6,0,1,8,0,1,2,0,1,8,5,43,21,64,168.08,45,0
34,3/5/2010,5,"Fri",,,,,,,,,,,,,,,,,,,,,,47,
35,3/15/2010,1,"Mon",6,0,1,17,0,1,3,0,1,4,0,1,2,0,1,9,3,24,8,32,130.77,48,0
36,3/16/2010,2,"Tue",7,1,"0,875",19,0,1,5,2,"0,7142857143",13,0,1,1,0,1,11,4,48,8,56,164.54,61,3
37,3/17/2010,3,"Wed",3,3,"0,5",13,0,1,3,4,"0,4285714286",6,0,1,0,0,,7,4,35,4,39,121.41,64,7
38,3/18/2010,4,"Thu",5,3,"0,625",15,3,"0,8333333333",1,2,"0,3333333333",5,2,"0,7142857143",4,0,1,8,5,33,4,37,127.93,64,10
39,3/19/2010,5,"Fri",2,0,1,4,7,"0,3636363636",5,2,"0,7142857143",3,3,"0,5",1,0,1,1,3,24,3,27,"61,94",65,12
40,3/22/2010,1,"Mon",4,2,"0,6666666667",13,4,"0,7647058824",3,0,1,2,4,"0,3333333333",2,0,1,8,7,30,5,35,128.59,47,10
41,3/23/2010,2,"Tue",8,0,1,14,4,"0,7777777778",7,0,1,4,3,"0,5714285714",2,2,"0,5",7,6,50,6,56,"159,23",62,9
42,3/24/2010,3,"Wed",4,0,1,9,0,1,8,0,1,5,4,"0,5555555556",2,0,1,7,5,45,4,49,148.08,66,4
43,3/25/2010,4,"Thu",6,0,1,18,1,"0,9473684211",3,0,1,3,1,"0,75",2,0,1,9,4,50,13,63,164.86,56,2
44,3/26/2010,5,"Fri",1,1,"0,5",4,1,"0,8",3,1,"0,75",5,1,"0,8333333333",1,1,"0,5",3,2,26,4,30,74.13,49,5
45,3/29/2010,1,"Mon",2,4,"0,3333333333",9,2,"0,8181818182",3,0,1,1,0,1,0,1,0,4,0,26,16,42,82.96,56,7
46,3/30/2010,2,"Tue",6,0,1,25,0,1,11,1,"0,9166666667",9,0,1,4,0,1,9,10,55,14,69,240.87,62,1
47,3/31/2010,3,"Wed",4,0,1,15,0,1,1,0,1,9,4,"0,6923076923",3,0,1,6,4,42,10,52,151.52,76,4
48,4/1/2010,4,"Thu",4,0,1,16,0,1,6,0,1,6,0,1,1,0,1,11,3,45,11,56,150.99,80,0
