ChIP number	Target	Sample	Cq	quantity/100
1	5S	IgG	30,88	0,0006145968933
1	5S	IgG	30,56	0,0007672200772
1	5S	IgG	30,31	0,0009123835746
1	Alu	IgG	22,85	0,002765829798
1	Alu	IgG	23,1	0,002325776362
1	Alu	IgG	23,32	0,001996831198
1	Alphoid	IgG	23,85	0,0005603418091
1	Alphoid	IgG	23,71	0,000617443506
1	Alphoid	IgG	23,39	0,0007707735908
1	5S	Ku70	28,94	0,002358242991
1	5S	Ku70	28,77	0,00001850910628
1	Alu	Ku70	21,62	0,006487723702
1	Alu	Ku70	21,5	0,007050435525
1	Alu	Ku70	22,4	0,003778234848
1	Alphoid	Ku70	22,54	0,001389320111
1	Alphoid	Ku70	22,59	0,001341994767
1	Alphoid	Ku70	22,66	0,001278435209
2	5S	IgG	28,34	0,0002872786844
2	5S	IgG	28,19	0,0003187556582
2	5S	IgG	28,3	0,0002953551875
2	Alphoid	IgG	21,53	0,0001793093789
2	Alphoid	IgG	20,94	0,0002699048594
2	Alphoid	IgG	20,87	0,0002833236339
2	Alu	IgG	20,91	0,0001487047727
2	Alu	IgG	20,61	0,0001830770501
2	Alu	IgG	20,57	0,0001882240466
2	5S	Ku70	27,63	0,0004699316547
2	5S	Ku70	27,64	0,0004666855997
2	5S	Ku70	27,73	0,0004384617376
2	Alphoid	Ku70	18,99	0,001042843636
2	Alphoid	Ku70	18,58	0,001385611546
2	Alphoid	Ku70	19,12	0,0009529833123
2	Alu	Ku70	19,5	0,0003951638439
2	Alu	Ku70	19,18	0,0004932950981
2	Alu	Ku70	19	0,0005588460674
3	5S	IgG	27,21	0,001782443306
3	5S	IgG	26,96	0,002119694262
3	5S	IgG	26,91	0,002194445118
3	Alu	IgG	17,71	0,0009442164503
3	Alu	IgG	18,19	0,0006769820671
3	Alu	IgG	18,04	0,0007511586348
3	Alphoid	IgG	19,78	0,0008106716087
3	Alphoid	IgG	19,86	0,0007669420744
3	Alphoid	IgG	19,7	0,0008568945154
3	5S	Ku80	25,5	0,005831456197
3	5S	Ku80	25,63	0,005328968074
3	5S	Ku80	25,18	0,007279584915
3	Alu	Ku80	17,74	0,0009247847567
3	Alu	Ku80	17,78	0,0008994964689
3	Alu	Ku80	17,62	0,001004995835
3	Alphoid	Ku80	18,7	0,001713789031
3	Alphoid	Ku80	19	0,001392029247
3	Alphoid	Ku80	18,84	0,001555296374
7	5S	IgG	26,67	0,003081977202
7	5S	IgG	26,64	0,003146736094
7	5S	IgG	26,56	0,00332615682
7	Alphoid	IgG	20,23	0,002514938039
7	Alphoid	IgG	20,34	0,002330311563
7	Alphoid	IgG	20,57	0,001986904947
7	Alu	IgG	18,52	0,0009752582413
7	Alu	IgG	18,74	0,0008373230176
7	Alu	IgG	18,67	0,0008789519412
7	5S	Ku70	24,82	0,01111053351
7	5S	Ku70	24,98	0,009944206047
7	5S	Ku70	24,94	0,01022377573
7	Alphoid	Ku70	18,78	0,006871013209
7	Alphoid	Ku70	19,55	0,004029282214
7	Alphoid	Ku70	19	0,005899214454
7	Alu	Ku70	16,93	0,002936008591
7	Alu	Ku70	17,43	0,002076071585
7	Alu	Ku70	17,54	0,001923663146
7	5S	Ku80	25,92	0,005183247161
7	5S	Ku80	25,68	0,00612137686
7	5S	Ku80	25,99	0,004937758199
7	Alphoid	Ku80	19,71	0,003606308599
7	Alphoid	Ku80	19,28	0,004858540033
7	Alphoid	Ku80	19,42	0,004409218147
7	Alu	Ku80	18,11	0,00129581179
7	Alu	Ku80	17,88	0,001519773355
7	Alu	Ku80	17,66	0,001770131071